132
0 5 2 32 1
1 5 8 128 0
2 2 1 8 0
3 7 16 128 0
4 5 2 128 0
5 5 32 32 0
6 3 16 128 0
7 6 32 8 0
8 6 2 16 0
9 3 16 16 0
10 2 32 16 0
11 6 4 64 0
12 6 32 16 0
13 7 16 16 0
14 2 1 8 0
15 8 8 64 0
16 5 32 32 0
17 8 16 16 0
18 8 4 16 0
19 8 4 8 0
20 6 4 16 0
21 4 1 16 0
22 1 1 128 0
23 5 2 64 0
24 8 1 16 0
25 2 1 32 0
26 8 1 16 0
27 5 1 8 0
28 2 32 32 0
29 8 2 32 0
30 4 32 16 0
31 7 1 64 0
32 6 16 8 0
33 1 16 8 0
34 8 2 16 0
35 6 8 64 0
36 3 1 8 0
37 4 16 64 0
38 4 1 32 0
39 8 4 64 0
40 8 8 32 0
41 3 16 8 0
42 2 8 8 0
43 5 32 32 0
44 7 32 64 0
45 8 2 32 0
46 4 8 32 0
47 6 8 128 0
48 4 1 64 0
49 3 1 16 0
50 2 4 16 0
51 5 8 128 0
52 5 1 64 0
53 2 32 16 0
54 8 8 8 0
55 1 16 32 0
56 1 2 8 0
57 5 16 128 0
58 8 4 8 0
59 3 2 32 0
60 7 8 16 0
61 8 1 128 0
62 3 4 64 0
63 1 8 128 0
64 8 2 8 0
65 8 32 32 0
66 2 32 32 0
67 1 32 8 0
68 4 1 128 0
69 3 32 16 0
70 1 8 128 0
71 7 2 16 0
72 1 2 8 0
73 3 16 32 0
74 1 4 8 0
75 4 32 16 0
76 6 1 32 0
77 5 16 32 0
78 7 4 8 0
79 7 32 16 0
80 2 2 64 0
81 1 32 128 0
82 3 2 64 0
83 1 32 32 0
84 5 1 16 0
85 1 8 32 0
86 5 4 8 0
87 1 8 32 0
88 2 16 8 0
89 3 1 32 0
90 1 16 128 0
91 4 2 8 0
92 6 16 64 0
93 4 32 64 0
94 1 32 32 0
95 1 2 32 0
96 4 8 64 0
97 6 2 16 0
98 5 1 8 0
99 7 4 32 0
100 3 2 16 0
101 8 32 64 0
102 2 32 16 0
103 7 2 8 0
104 6 32 128 0
105 5 8 64 0
106 2 8 32 0
107 7 8 32 0
108 4 2 64 0
109 8 16 128 0
110 3 1 16 0
111 5 32 128 0
112 7 1 16 0
113 7 16 32 0
114 1 32 64 0
115 2 2 32 0
116 7 16 64 0
117 7 4 16 0
118 6 16 64 0
119 3 2 8 0
120 7 2 16 0
121 1 16 128 0
122 8 2 128 0
123 2 16 64 0
124 6 8 128 0
125 3 16 8 0
126 4 32 128 0
127 3 1 8 0
128 6 4 64 0
129 6 1 8 0
130 6 1 128 0
131 7 16 64 0
131
0 1 3
0 2 59
0 3 87
0 4 11
0 5 37
0 6 74
0 7 35
0 8 48
0 9 47
0 10 56
0 11 20
0 12 7
0 13 23
0 14 46
0 15 64
0 16 11
0 17 60
0 18 68
0 19 34
0 20 26
0 21 90
0 22 20
0 23 94
0 24 83
0 25 72
0 26 90
0 27 6
0 28 70
0 29 1
0 30 13
0 31 89
0 32 38
0 33 88
0 34 62
0 35 93
0 36 43
0 37 58
0 38 26
0 39 52
0 40 23
0 41 95
0 42 8
0 43 38
0 44 7
0 45 61
0 46 98
0 47 98
0 48 30
0 49 95
0 50 78
0 51 3
0 52 28
0 53 92
0 54 24
0 55 33
0 56 93
0 57 25
0 58 81
0 59 83
0 60 3
0 61 36
0 62 88
0 63 89
0 64 72
0 65 50
0 66 88
0 67 39
0 68 39
0 69 52
0 70 50
0 71 23
0 72 54
0 73 54
0 74 35
0 75 73
0 76 46
0 77 87
0 78 13
0 79 51
0 80 2
0 81 85
0 82 63
0 83 35
0 84 62
0 85 42
0 86 22
0 87 50
0 88 49
0 89 95
0 90 34
0 91 51
0 92 97
0 93 91
0 94 68
0 95 99
0 96 7
0 97 27
0 98 32
0 99 31
0 100 32
0 101 1
0 102 69
0 103 74
0 104 47
0 105 25
0 106 50
0 107 3
0 108 88
0 109 62
0 110 91
0 111 4
0 112 58
0 113 25
0 114 85
0 115 64
0 116 87
0 117 84
0 118 76
0 119 62
0 120 23
0 121 17
0 122 82
0 123 14
0 124 85
0 125 29
0 126 80
0 127 29
0 128 7
0 129 45
0 130 38
0 131 91
