58
0 24 256 1024 0
1 24 256 1024 0
2 24 256 1024 0
3 24 256 1024 0
4 24 256 1024 0
5 24 256 1024 0
6 24 256 1024 0
7 24 256 1024 0
8 24 256 1024 0
9 24 256 1024 0
10 24 256 1024 0
11 24 256 1024 0
12 24 256 1024 1
13 24 256 1024 0
14 24 256 1024 0
15 24 256 1024 0
16 24 256 1024 0
17 24 256 1024 0
18 24 256 1024 0
19 24 256 1024 0
20 24 256 1024 0
21 24 256 1024 0
22 24 256 1024 0
23 24 256 1024 0
24 24 256 1024 0
25 24 256 1024 1
26 24 256 1024 0
27 24 256 1024 0
28 24 256 1024 0
29 24 256 1024 0
30 24 256 1024 0
31 24 256 1024 0
32 24 256 1024 0
33 24 256 1024 0
34 24 256 1024 0
35 24 256 1024 0
36 24 256 1024 0
37 24 256 1024 0
38 24 256 1024 1
39 24 256 1024 0
40 24 256 1024 0
41 24 256 1024 0
42 24 256 1024 0
43 24 256 1024 0
44 24 256 1024 0
45 24 256 1024 0
46 24 256 1024 0
47 24 256 1024 0
48 24 256 1024 0
49 24 256 1024 0
50 24 256 1024 0
51 24 256 1024 1
52 24 256 1024 1
53 24 256 1024 1
54 24 256 1024 1
55 24 256 1024 1
56 24 256 1024 1
57 24 256 1024 1
65
0 12 1000
1 12 1000
2 12 1000
3 12 1000
4 12 1000
5 12 1000
6 12 1000
7 12 1000
8 12 1000
9 12 1000
10 12 1000
11 12 1000
13 25 1000
14 25 1000
15 25 1000
16 25 1000
17 25 1000
18 25 1000
19 25 1000
20 25 1000
21 25 1000
22 25 1000
23 25 1000
24 25 1000
26 38 1000
27 38 1000
28 38 1000
29 38 1000
30 38 1000
31 38 1000
32 38 1000
33 38 1000
34 38 1000
35 38 1000
36 38 1000
37 38 1000
39 51 1000
40 51 1000
41 51 1000
42 51 1000
43 51 1000
44 51 1000
45 51 1000
46 51 1000
47 51 1000
48 51 1000
49 51 1000
50 51 1000
56 57 1000
56 52 1000
56 53 1000
56 54 1000
56 55 1000
57 52 1000
57 53 1000
57 54 1000
57 55 1000
52 12 1000
53 25 1000
54 38 1000
55 51 1000
52 25 1000
53 12 1000
54 51 1000
55 38 1000
