40
0 1 2 8 1
1 3 2 8 1
2 2 1 32 1
3 1 1 64 1
4 3 2 32 1
5 6 16 64 1
6 8 1 64 1
7 5 1 8 1
8 1 4 8 1
9 4 8 32 1
10 8 32 16 1
11 4 16 32 1
12 5 8 8 1
13 8 2 16 1
14 5 2 128 1
15 8 16 8 0
16 6 32 8 0
17 2 8 128 0
18 4 2 32 0
19 1 2 16 0
20 3 16 16 0
21 8 16 8 0
22 7 2 128 0
23 6 4 8 0
24 5 16 128 0
25 8 1 64 0
26 6 4 8 0
27 8 4 16 0
28 3 1 32 0
29 2 32 128 0
30 8 16 32 0
31 7 4 64 0
32 4 2 128 0
33 1 1 16 0
34 6 32 64 0
35 2 2 64 0
36 5 16 16 0
37 8 4 64 0
38 3 4 32 0
39 1 2 64 0
75
0 5 52
0 6 100
0 7 6
0 8 17
0 9 4
1 5 9
1 6 33
1 7 13
1 8 92
1 9 18
2 5 89
2 6 9
2 7 77
2 8 27
2 9 72
3 5 22
3 6 28
3 7 77
3 8 35
3 9 26
4 5 74
4 6 97
4 7 84
4 8 2
4 9 71
5 10 40
5 11 4
5 12 72
5 13 77
5 14 17
6 10 30
6 11 17
6 12 93
6 13 99
6 14 5
7 10 21
7 11 54
7 12 47
7 13 96
7 14 29
8 10 32
8 11 32
8 12 64
8 13 81
8 14 60
9 10 95
9 11 3
9 12 78
9 13 8
9 14 71
5 15 51
5 16 43
5 17 48
5 18 99
5 19 59
6 20 11
6 21 36
6 22 73
6 23 55
6 24 58
7 25 96
7 26 53
7 27 54
7 28 16
7 29 29
8 30 93
8 31 90
8 32 4
8 33 63
8 34 81
9 35 5
9 36 94
9 37 66
9 38 48
9 39 42
