39
0 7 32 16 1
1 3 2 64 1
2 4 16 16 1
3 5 16 64 1
4 8 4 128 1
5 5 2 16 1
6 6 2 32 1
7 3 16 32 1
8 8 2 8 1
9 7 4 16 1
10 2 4 128 1
11 2 2 16 1
12 8 2 32 1
13 2 4 32 1
14 2 2 32 1
15 3 2 128 1
16 2 32 128 1
17 2 8 64 1
18 2 32 8 0
19 5 2 128 0
20 1 4 64 0
21 3 1 128 0
22 8 1 8 0
23 4 32 16 0
24 7 32 16 0
25 7 32 32 0
26 6 4 64 0
27 8 4 128 0
28 1 1 64 0
29 6 8 16 0
30 5 4 8 0
31 1 8 128 0
32 8 32 32 0
33 7 16 64 0
34 6 32 16 0
35 1 8 64 0
36 3 4 64 0
37 8 1 16 0
38 5 16 32 0
66
0 3 100
0 4 67
0 5 93
1 3 15
1 4 5
1 5 68
2 3 27
2 4 87
2 5 92
3 6 68
3 7 43
3 8 10
4 6 42
4 7 42
4 8 10
5 6 11
5 7 81
5 8 48
6 9 5
6 10 18
6 11 83
7 9 32
7 10 83
7 11 36
8 9 50
8 10 54
8 11 41
9 12 50
9 13 50
9 14 61
10 12 14
10 13 54
10 14 27
11 12 97
11 13 94
11 14 11
12 15 65
12 16 100
12 17 79
13 15 84
13 16 41
13 17 97
14 15 12
14 16 49
14 17 17
12 18 46
12 19 40
12 20 54
12 21 10
12 22 43
12 23 82
12 24 100
13 25 34
13 26 89
13 27 35
13 28 76
13 29 89
13 30 52
13 31 61
14 32 61
14 33 25
14 34 90
14 35 82
14 36 74
14 37 88
14 38 24
