60
0 7 16 32 1
1 2 4 16 1
2 3 4 64 1
3 4 1 64 1
4 6 32 16 1
5 4 1 64 1
6 6 8 8 1
7 8 4 64 1
8 4 16 32 1
9 1 4 16 1
10 6 8 64 1
11 4 16 32 1
12 5 2 32 1
13 6 4 64 1
14 7 1 64 1
15 4 8 32 1
16 7 32 16 1
17 6 32 64 1
18 5 1 32 1
19 8 1 64 1
20 2 32 32 1
21 2 2 16 1
22 6 2 32 1
23 4 1 8 1
24 1 16 64 1
25 5 4 8 0
26 7 4 128 0
27 7 32 128 0
28 6 2 32 0
29 6 4 64 0
30 7 32 64 0
31 7 32 32 0
32 2 2 16 0
33 8 16 16 0
34 8 32 16 0
35 1 32 32 0
36 5 16 16 0
37 4 2 128 0
38 8 1 128 0
39 3 2 128 0
40 3 4 128 0
41 8 2 8 0
42 2 32 128 0
43 7 8 8 0
44 6 16 8 0
45 7 8 16 0
46 8 1 32 0
47 8 32 32 0
48 6 1 16 0
49 2 4 128 0
50 8 4 32 0
51 4 1 8 0
52 8 32 16 0
53 8 8 64 0
54 7 1 32 0
55 4 8 64 0
56 8 8 32 0
57 3 4 64 0
58 3 16 16 0
59 5 1 16 0
135
0 5 67
0 6 65
0 7 46
0 8 36
0 9 93
1 5 66
1 6 5
1 7 36
1 8 67
1 9 17
2 5 84
2 6 36
2 7 38
2 8 35
2 9 91
3 5 9
3 6 51
3 7 30
3 8 8
3 9 22
4 5 54
4 6 84
4 7 63
4 8 41
4 9 85
5 10 30
5 11 3
5 12 35
5 13 59
5 14 84
6 10 42
6 11 45
6 12 7
6 13 48
6 14 29
7 10 31
7 11 46
7 12 71
7 13 80
7 14 17
8 10 62
8 11 20
8 12 39
8 13 87
8 14 45
9 10 71
9 11 32
9 12 63
9 13 33
9 14 40
10 15 14
10 16 62
10 17 17
10 18 88
10 19 42
11 15 90
11 16 55
11 17 72
11 18 61
11 19 4
12 15 73
12 16 64
12 17 81
12 18 12
12 19 82
13 15 40
13 16 9
13 17 63
13 18 36
13 19 25
14 15 57
14 16 98
14 17 55
14 18 5
14 19 43
15 20 97
15 21 81
15 22 59
15 23 42
15 24 87
16 20 33
16 21 40
16 22 52
16 23 75
16 24 93
17 20 22
17 21 53
17 22 38
17 23 57
17 24 34
18 20 47
18 21 95
18 22 67
18 23 40
18 24 9
19 20 42
19 21 79
19 22 11
19 23 49
19 24 80
15 25 49
15 26 13
15 27 34
15 28 7
15 29 32
15 30 45
15 31 80
16 32 48
16 33 25
16 34 62
16 35 15
16 36 29
16 37 31
16 38 10
17 39 67
17 40 39
17 41 19
17 42 42
17 43 58
17 44 8
17 45 64
18 46 13
18 47 70
18 48 75
18 49 57
18 50 10
18 51 18
18 52 10
19 53 15
19 54 32
19 55 64
19 56 80
19 57 19
19 58 52
19 59 62
